file name,total expected,num of assigned genes,num of unassigned genes,ratio of assigned genes
GCF_000005825-GCF_000011145,0,5363,2518,0.680497398807258
GCF_000005825-GCF_000292245,0,5254,2694,0.6610468042274786
GCF_000005825-GCF_000334155,0,5189,2399,0.68384290985767
GCF_000005825-GCF_000513095,0,5442,2509,0.6844422085272293
GCF_000005825-GCF_000513115,0,5026,2866,0.6368474404460213
GCF_000005825-GCF_000513135,0,5665,2569,0.6880009715812485
GCF_000005825-GCF_000586495,0,5052,2873,0.6374763406940063
GCF_000005845-GCF_000006925,0,6725,1730,0.7953873447664104
GCF_000005845-GCF_000012005,0,6190,2244,0.7339340763576002
GCF_000005845-GCF_000017665,0,5864,2308,0.7175721977484092
GCF_000005845-GCF_000023605,0,5518,2784,0.6646591182847507
GCF_000005845-GCF_000025565,0,6504,3154,0.673431352246842
GCF_000005845-GCF_000091565,0,4795,2666,0.6426752446052808
GCF_000005845-GCF_000180175,0,3847,2916,0.5688304007097442
GCF_000005845-GCF_000215745,0,6659,2393,0.7356385329209014
GCF_000005845-GCF_000240185,0,6512,3407,0.656517794132473
GCF_000005845-GCF_000262305,0,5801,2046,0.7392634127692111
GCF_000005845-GCF_000283875,0,5669,2809,0.6686718565699458
GCF_000005845-GCF_000300455,0,6162,2416,0.7183492655630683
GCF_000005845-GCF_000302695,0,5849,2385,0.7103473402963323
GCF_000005845-GCF_000406285,0,4907,2832,0.6340612482232847
GCF_000005845-GCF_000495815,0,2969,5266,0.36053430479659987
GCF_000005845-GCF_000496755,0,5186,2794,0.6498746867167919
GCF_000005845-GCF_000513215,0,6062,2682,0.6932753888380604
GCF_000005845-GCF_000597785,0,6041,2223,0.7310019361084221
GCF_000005845-GCF_000648515,0,6921,2152,0.7628127410999669
GCF_000005845-GCF_000705335,0,6093,2826,0.6831483350151363
GCF_000005845-GCF_000735365,0,6318,2202,0.7415492957746479
GCF_000005845-GCF_000735515,0,6337,2288,0.7347246376811594
GCF_000005845-GCF_000757785,0,6393,2546,0.715180668978633
GCF_000005845-GCF_000759475,0,5360,2606,0.6728596535274919
GCF_000005845-GCF_000759795,0,5684,2472,0.6969102501226091
GCF_000005845-GCF_001006005,0,6526,2779,0.7013433637829124
GCF_000005845-GCF_001026985,0,4740,2837,0.6255774053055299
GCF_000005845-GCF_001049335,0,5617,3002,0.6516997331476969
GCF_000005845-GCF_001078095,0,4264,2702,0.6121159919609532
GCF_000006605-GCF_000069945,0,3189,760,0.807546214231451
GCF_000006605-GCF_000177535,0,3300,807,0.8035062089116143
GCF_000006605-GCF_000183325,0,2803,1047,0.7280519480519481
GCF_000006605-GCF_000341345,0,3151,1648,0.6565951239841634
GCF_000006605-GCF_000525655,0,3227,936,0.7751621426855633
GCF_000006605-GCF_000819445,0,3037,1435,0.6791144901610018
GCF_000006605-GCF_000835165,0,3056,1400,0.6858168761220825
GCF_000006605-GCF_001021045,0,3013,1477,0.6710467706013363
GCF_000006625-GCF_000731915,0,1012,284,0.7808641975308642
GCF_000006685-GCF_000007605,0,1683,191,0.8980789754535753
GCF_000006685-GCF_000008725,0,1708,79,0.9557918298824846
GCF_000006685-GCF_000008745,0,1654,275,0.8574390876101607
